age,weight_kg,height_cm,bmi,gender,goal,experience,workout_type,duration_min,calories_burned,weekly_frequency,bmi_category,age_group,fitness_score
43,127.5,151.6,55.48,male,weight_loss,beginner,Cardio + HIIT,34,405.3,3,Obese,Middle-aged,83.0
20,125.1,189.1,34.98,male,weight_loss,advanced,Cardio + HIIT,69,800.0,5,Obese,Young,166.0
62,111.6,162.0,42.52,male,muscle_gain,beginner,Strength Training,26,203.1,4,Obese,Senior,66.3
64,75.2,157.2,30.43,female,muscle_gain,intermediate,Strength Training,52,270.5,4,Obese,Senior,119.0
45,80.0,155.8,32.96,male,muscle_gain,advanced,Strength Training,58,357.7,5,Obese,Middle-aged,161.0
61,91.7,151.4,40.01,male,endurance,beginner,Running + Cycling,42,406.8,3,Obese,Senior,87.0
20,115.6,176.2,37.23,female,general_fitness,intermediate,Mixed Training,40,445.1,5,Obese,Young,119.0
27,50.8,160.9,19.62,male,weight_loss,intermediate,Cardio + HIIT,41,211.4,5,Normal,Adult,107.6
31,81.1,199.5,20.38,male,weight_loss,intermediate,Cardio + HIIT,41,330.8,4,Normal,Adult,119.5
41,52.0,178.7,16.28,male,weight_loss,intermediate,Cardio + HIIT,43,211.3,4,Underweight,Middle-aged,108.6
41,88.7,156.9,36.03,female,weight_loss,beginner,Cardio + HIIT,27,226.3,4,Obese,Middle-aged,69.1
63,121.4,184.4,35.7,female,endurance,intermediate,Running + Cycling,56,709.6,5,Obese,Senior,127.0
36,111.5,194.9,29.35,male,endurance,intermediate,Running + Cycling,53,716.5,5,Overweight,Adult,125.5
54,64.4,187.3,18.36,male,flexibility,intermediate,Yoga + Stretching,41,116.2,4,Underweight,Middle-aged,98.1
51,128.0,153.8,54.11,male,weight_loss,beginner,Cardio + HIIT,40,458.2,3,Obese,Middle-aged,86.0
48,101.7,194.8,26.8,female,muscle_gain,intermediate,Strength Training,50,385.6,4,Overweight,Middle-aged,124.0
45,45.9,189.7,12.75,female,muscle_gain,advanced,Strength Training,67,237.1,6,Underweight,Middle-aged,156.2
52,66.7,157.9,26.75,female,weight_loss,intermediate,Cardio + HIIT,40,237.5,5,Overweight,Middle-aged,109.8
38,67.2,152.6,28.86,male,endurance,intermediate,Running + Cycling,41,330.6,5,Overweight,Adult,119.5
25,50.9,177.9,16.08,female,general_fitness,intermediate,Mixed Training,41,196.1,5,Underweight,Adult,106.1
20,126.6,157.8,50.84,female,muscle_gain,advanced,Strength Training,75,800.0,6,Obese,Young,166.0
51,85.7,191.7,23.32,female,flexibility,advanced,Yoga + Stretching,59,226.3,5,Normal,Middle-aged,151.1
49,121.1,167.9,42.96,female,muscle_gain,beginner,Strength Training,28,255.7,3,Obese,Middle-aged,72.6
46,72.4,195.6,18.92,male,weight_loss,intermediate,Cardio + HIIT,51,339.7,4,Normal,Middle-aged,124.5
25,55.6,178.3,17.49,male,endurance,beginner,Running + Cycling,27,192.3,4,Underweight,Adult,65.7
34,85.3,159.1,33.7,male,weight_loss,intermediate,Cardio + HIIT,59,493.2,4,Obese,Adult,128.5
47,54.7,157.0,22.19,male,weight_loss,beginner,Cardio + HIIT,34,170.2,4,Normal,Middle-aged,67.0
16,86.3,178.8,26.99,female,endurance,advanced,Running + Cycling,74,800.0,5,Overweight,Young,166.0
20,123.2,188.1,34.82,female,general_fitness,beginner,Mixed Training,42,498.0,3,Obese,Young,87.0
60,89.3,189.1,24.97,female,muscle_gain,intermediate,Strength Training,60,379.5,5,Normal,Senior,129.0
19,97.4,163.8,36.3,male,muscle_gain,intermediate,Strength Training,60,513.8,4,Obese,Young,129.0
31,58.3,160.2,22.72,male,general_fitness,beginner,Mixed Training,45,239.3,3,Normal,Adult,79.4
39,48.7,150.8,21.42,female,flexibility,advanced,Yoga + Stretching,64,148.8,5,Normal,Adult,145.9
31,54.4,184.0,16.07,male,endurance,advanced,Running + Cycling,55,372.1,5,Underweight,Adult,159.5
17,95.9,153.8,40.54,male,weight_loss,intermediate,Cardio + HIIT,45,459.6,4,Obese,Young,121.5
64,53.1,171.0,18.16,female,general_fitness,intermediate,Mixed Training,50,202.0,4,Underweight,Senior,111.2
43,77.0,180.1,23.74,female,weight_loss,beginner,Cardio + HIIT,26,187.2,3,Normal,Middle-aged,64.7
47,91.8,196.9,23.68,male,endurance,intermediate,Running + Cycling,46,483.0,5,Normal,Middle-aged,122.0
42,78.0,165.6,28.44,female,weight_loss,beginner,Cardio + HIIT,44,322.6,3,Overweight,Middle-aged,87.3
35,58.9,162.5,22.31,female,endurance,intermediate,Running + Cycling,60,430.7,5,Normal,Adult,129.0
39,68.3,182.7,20.46,female,weight_loss,advanced,Cardio + HIIT,75,489.2,5,Normal,Adult,166.0
27,123.9,181.0,37.82,female,muscle_gain,beginner,Strength Training,45,471.6,4,Obese,Adult,88.5
50,102.5,166.6,36.93,male,muscle_gain,advanced,Strength Training,72,553.5,6,Obese,Middle-aged,166.0
48,87.2,196.4,22.61,female,weight_loss,beginner,Cardio + HIIT,45,357.1,3,Normal,Middle-aged,88.5
48,46.1,192.2,12.48,male,endurance,advanced,Running + Cycling,73,382.8,6,Underweight,Middle-aged,166.0
58,129.4,161.2,49.8,male,general_fitness,beginner,Mixed Training,28,285.6,4,Obese,Senior,75.6
52,102.1,162.0,38.9,female,general_fitness,intermediate,Mixed Training,52,433.1,4,Obese,Middle-aged,125.0
27,71.9,175.6,23.32,male,weight_loss,beginner,Cardio + HIIT,42,306.5,4,Normal,Adult,84.6
18,119.7,188.7,33.62,female,endurance,advanced,Running + Cycling,74,800.0,5,Obese,Young,166.0
16,67.0,152.2,28.92,female,endurance,intermediate,Running + Cycling,52,466.0,5,Overweight,Young,125.0
48,91.2,184.7,26.73,female,muscle_gain,beginner,Strength Training,43,297.4,4,Overweight,Middle-aged,84.2
55,99.1,182.4,29.79,female,weight_loss,intermediate,Cardio + HIIT,56,485.6,5,Overweight,Senior,127.0
25,63.8,161.6,24.43,male,endurance,intermediate,Running + Cycling,40,327.0,5,Normal,Adult,118.7
58,128.2,184.1,37.83,male,general_fitness,intermediate,Mixed Training,45,454.8,4,Obese,Senior,121.5
59,108.6,197.0,27.98,male,endurance,advanced,Running + Cycling,73,800.0,5,Overweight,Senior,166.0
44,92.4,152.3,39.84,male,muscle_gain,intermediate,Strength Training,59,422.5,4,Obese,Middle-aged,128.5
28,60.4,166.0,21.92,male,muscle_gain,beginner,Strength Training,25,127.1,3,Normal,Adult,58.2
27,49.6,171.9,16.79,female,weight_loss,beginner,Cardio + HIIT,32,161.1,3,Underweight,Adult,65.1
46,72.2,195.0,18.99,female,flexibility,intermediate,Yoga + Stretching,56,186.0,5,Normal,Middle-aged,112.6
61,109.0,198.1,27.78,female,endurance,intermediate,Running + Cycling,60,690.8,4,Overweight,Senior,129.0
17,67.9,172.2,22.9,female,weight_loss,beginner,Cardio + HIIT,39,282.0,4,Normal,Young,80.7
50,90.9,187.5,25.86,female,general_fitness,beginner,Mixed Training,42,315.0,3,Overweight,Middle-aged,85.5
38,106.9,176.6,34.28,male,weight_loss,intermediate,Cardio + HIIT,46,472.1,4,Obese,Adult,122.0
32,54.2,176.9,17.32,male,general_fitness,advanced,Mixed Training,70,344.3,5,Underweight,Adult,166.0
41,103.3,163.9,38.45,male,muscle_gain,beginner,Strength Training,31,252.2,3,Obese,Middle-aged,73.7
23,52.8,160.8,20.42,female,weight_loss,intermediate,Cardio + HIIT,56,306.0,5,Normal,Young,124.6
44,127.0,164.4,46.99,male,muscle_gain,advanced,Strength Training,58,570.9,5,Obese,Middle-aged,161.0
41,86.5,177.8,27.36,female,muscle_gain,intermediate,Strength Training,51,347.4,5,Overweight,Middle-aged,124.5
25,57.8,151.5,25.18,female,weight_loss,beginner,Cardio + HIIT,37,219.2,4,Overweight,Adult,73.4
41,74.1,195.4,19.41,male,endurance,intermediate,Running + Cycling,43,376.4,4,Normal,Middle-aged,120.5
49,80.1,157.8,32.17,male,endurance,advanced,Running + Cycling,75,679.6,6,Obese,Middle-aged,166.0
56,109.4,161.0,42.21,male,endurance,beginner,Running + Cycling,25,297.4,4,Obese,Senior,75.2
22,108.2,175.9,34.97,male,weight_loss,intermediate,Cardio + HIIT,40,450.1,4,Obese,Young,119.0
19,97.0,185.5,28.19,female,muscle_gain,beginner,Strength Training,31,264.4,4,Overweight,Young,74.9
60,54.0,154.8,22.53,female,weight_loss,beginner,Cardio + HIIT,33,151.5,3,Normal,Senior,64.6
26,57.9,165.9,21.04,female,endurance,intermediate,Running + Cycling,40,295.3,4,Normal,Adult,115.5
44,53.0,198.4,13.46,female,weight_loss,intermediate,Cardio + HIIT,55,271.1,5,Underweight,Middle-aged,120.6
51,94.1,163.1,35.37,female,general_fitness,beginner,Mixed Training,42,324.2,4,Obese,Middle-aged,86.4
40,119.6,165.7,43.56,female,endurance,intermediate,Running + Cycling,54,766.9,5,Obese,Middle-aged,126.0
36,81.9,191.8,22.26,male,muscle_gain,intermediate,Strength Training,45,297.9,5,Normal,Adult,118.3
51,58.7,152.5,25.24,female,muscle_gain,intermediate,Strength Training,41,179.5,5,Overweight,Middle-aged,104.4
25,92.4,173.2,30.8,male,weight_loss,intermediate,Cardio + HIIT,48,454.6,5,Obese,Adult,123.0
52,114.0,169.0,39.91,male,weight_loss,beginner,Cardio + HIIT,28,284.1,4,Obese,Middle-aged,75.4
24,108.0,165.8,39.29,male,general_fitness,advanced,Mixed Training,67,683.2,5,Obese,Young,165.5
39,119.9,164.3,44.42,female,general_fitness,intermediate,Mixed Training,50,524.8,4,Obese,Adult,124.0
50,68.6,154.6,28.7,male,weight_loss,intermediate,Cardio + HIIT,52,321.0,4,Overweight,Middle-aged,124.1
64,61.5,165.7,22.4,male,endurance,advanced,Running + Cycling,65,414.7,6,Normal,Senior,164.5
50,119.8,152.2,51.72,female,endurance,beginner,Running + Cycling,43,579.5,4,Obese,Middle-aged,87.5
63,100.9,189.0,28.25,female,endurance,beginner,Running + Cycling,32,337.0,4,Overweight,Senior,82.0
51,71.4,169.9,24.73,female,weight_loss,intermediate,Cardio + HIIT,46,294.0,4,Normal,Middle-aged,118.4
33,108.1,172.2,36.46,female,weight_loss,intermediate,Cardio + HIIT,55,585.6,4,Obese,Adult,126.5
64,114.3,194.7,30.15,female,weight_loss,advanced,Cardio + HIIT,57,540.8,5,Obese,Senior,160.5
54,97.3,182.9,29.09,female,flexibility,advanced,Yoga + Stretching,71,304.0,6,Overweight,Middle-aged,163.4
47,103.5,150.4,45.76,male,muscle_gain,beginner,Strength Training,42,331.5,3,Obese,Middle-aged,87.0
39,76.9,197.2,19.77,female,muscle_gain,intermediate,Strength Training,54,330.5,4,Normal,Adult,126.0
38,90.8,161.9,34.64,female,general_fitness,intermediate,Mixed Training,56,447.5,5,Obese,Adult,127.0
47,89.6,155.4,37.1,male,endurance,beginner,Running + Cycling,35,358.7,3,Obese,Middle-aged,83.5
52,117.1,188.4,32.99,male,general_fitness,advanced,Mixed Training,59,563.7,5,Obese,Middle-aged,161.5
27,116.4,175.0,38.01,male,muscle_gain,advanced,Strength Training,70,689.2,5,Obese,Adult,166.0
64,115.8,171.7,39.28,female,weight_loss,intermediate,Cardio + HIIT,54,519.0,5,Obese,Senior,126.0
28,45.9,162.5,17.38,male,general_fitness,beginner,Mixed Training,34,144.5,3,Underweight,Adult,64.4
38,108.7,177.4,34.54,female,muscle_gain,beginner,Strength Training,38,330.4,4,Obese,Adult,85.0
40,109.5,163.7,40.86,female,weight_loss,beginner,Cardio + HIIT,26,270.5,4,Obese,Middle-aged,73.0
50,102.7,195.1,26.98,female,muscle_gain,advanced,Strength Training,70,539.2,5,Overweight,Middle-aged,166.0
56,109.3,160.8,42.27,female,weight_loss,beginner,Cardio + HIIT,43,408.9,3,Obese,Senior,87.5
45,116.6,194.2,30.92,male,muscle_gain,advanced,Strength Training,62,557.3,6,Obese,Middle-aged,163.0
32,85.0,178.0,26.83,male,general_fitness,intermediate,Mixed Training,54,416.5,5,Overweight,Adult,126.0
64,87.7,191.4,23.94,male,general_fitness,intermediate,Mixed Training,49,327.0,5,Normal,Senior,123.2
35,55.6,185.6,16.14,female,general_fitness,intermediate,Mixed Training,44,218.6,5,Underweight,Adult,109.9
63,77.8,184.8,22.78,male,weight_loss,intermediate,Cardio + HIIT,59,383.3,5,Normal,Senior,128.5
40,99.7,166.2,36.09,male,muscle_gain,intermediate,Strength Training,55,434.1,4,Obese,Middle-aged,126.5
37,111.3,161.7,42.57,male,weight_loss,advanced,Cardio + HIIT,75,800.0,6,Obese,Adult,166.0
28,63.5,160.5,24.65,female,general_fitness,intermediate,Mixed Training,51,299.8,4,Normal,Adult,121.5
34,56.7,192.9,15.24,male,muscle_gain,intermediate,Strength Training,52,240.8,5,Underweight,Adult,116.1
64,101.4,191.0,27.8,female,endurance,intermediate,Running + Cycling,48,505.0,4,Overweight,Senior,123.0
51,45.2,172.0,15.28,male,endurance,beginner,Running + Cycling,41,207.3,4,Underweight,Middle-aged,74.2
27,60.2,156.6,24.55,male,muscle_gain,intermediate,Strength Training,59,300.4,4,Normal,Adult,125.5
56,47.5,169.1,16.61,male,muscle_gain,advanced,Strength Training,66,227.3,5,Underweight,Senior,154.7
34,59.2,181.0,18.07,male,general_fitness,beginner,Mixed Training,29,154.2,4,Underweight,Adult,62.9
27,60.4,172.7,20.25,female,general_fitness,beginner,Mixed Training,36,202.3,4,Normal,Adult,71.2
24,78.0,189.0,21.84,male,weight_loss,beginner,Cardio + HIIT,25,200.8,3,Normal,Young,65.6
22,79.2,199.9,19.82,female,muscle_gain,intermediate,Strength Training,59,405.0,4,Normal,Young,128.5
43,119.3,159.6,46.84,female,general_fitness,beginner,Mixed Training,40,409.0,3,Obese,Middle-aged,86.0
29,88.4,173.0,29.54,female,weight_loss,intermediate,Cardio + HIIT,51,453.1,5,Overweight,Adult,124.5
46,106.5,171.5,36.21,female,muscle_gain,beginner,Strength Training,33,269.4,4,Obese,Middle-aged,76.4
34,53.9,165.2,19.75,male,weight_loss,beginner,Cardio + HIIT,37,195.4,4,Normal,Adult,71.0
62,64.2,159.9,25.11,female,muscle_gain,intermediate,Strength Training,56,251.7,5,Overweight,Senior,119.2
31,104.8,153.3,44.59,female,weight_loss,beginner,Cardio + HIIT,41,427.5,3,Obese,Adult,86.5
20,49.5,194.4,13.1,female,muscle_gain,advanced,Strength Training,58,251.2,6,Underweight,Young,153.1
50,86.4,171.0,29.55,female,weight_loss,beginner,Cardio + HIIT,38,295.5,4,Overweight,Middle-aged,81.6
27,95.9,174.8,31.39,male,muscle_gain,intermediate,Strength Training,58,470.5,5,Obese,Adult,128.0
40,96.2,195.8,25.09,female,general_fitness,beginner,Mixed Training,31,259.7,4,Overweight,Middle-aged,74.5
36,46.9,188.8,13.16,female,flexibility,beginner,Yoga + Stretching,27,80.0,4,Underweight,Adult,54.5
51,72.4,156.5,29.56,male,flexibility,advanced,Yoga + Stretching,55,178.2,5,Overweight,Middle-aged,144.3
38,99.1,178.3,31.17,female,endurance,advanced,Running + Cycling,66,784.9,6,Obese,Adult,165.0
31,57.7,172.1,19.48,female,weight_loss,beginner,Cardio + HIIT,39,223.9,3,Normal,Adult,74.9
54,104.1,189.9,28.87,male,weight_loss,intermediate,Cardio + HIIT,50,458.0,5,Overweight,Middle-aged,124.0
60,108.4,186.2,31.27,male,general_fitness,intermediate,Mixed Training,49,413.9,5,Obese,Senior,123.5
57,128.5,184.5,37.75,female,muscle_gain,beginner,Strength Training,26,240.8,4,Obese,Senior,70.1
54,62.8,167.0,22.52,male,weight_loss,beginner,Cardio + HIIT,28,154.7,4,Normal,Middle-aged,62.5
29,115.1,190.2,31.82,male,endurance,advanced,Running + Cycling,71,800.0,5,Obese,Adult,166.0
46,89.2,152.6,38.31,male,weight_loss,advanced,Cardio + HIIT,71,582.7,5,Obese,Middle-aged,166.0
20,76.7,158.0,30.72,male,weight_loss,advanced,Cardio + HIIT,62,499.3,6,Obese,Young,163.0
50,55.4,166.8,19.91,female,general_fitness,advanced,Mixed Training,68,310.8,5,Normal,Middle-aged,164.1
38,107.5,153.8,45.45,male,general_fitness,intermediate,Mixed Training,43,406.8,4,Obese,Adult,120.5
44,65.0,161.7,24.86,female,muscle_gain,beginner,Strength Training,30,151.1,4,Normal,Middle-aged,63.1
58,76.6,191.5,20.89,female,general_fitness,beginner,Mixed Training,43,259.7,3,Normal,Senior,80.5
26,50.3,197.4,12.91,male,endurance,beginner,Running + Cycling,28,179.6,3,Underweight,Adult,65.0
33,113.1,165.2,41.44,male,endurance,intermediate,Running + Cycling,42,584.9,5,Obese,Adult,120.0
62,110.2,163.2,41.38,female,weight_loss,advanced,Cardio + HIIT,74,685.0,6,Obese,Senior,166.0
27,107.4,164.0,39.93,male,weight_loss,advanced,Cardio + HIIT,60,654.1,5,Obese,Adult,162.0
24,70.5,163.9,26.24,male,endurance,advanced,Running + Cycling,61,553.7,6,Overweight,Young,162.5
25,59.7,151.8,25.91,female,general_fitness,advanced,Mixed Training,68,381.4,6,Overweight,Adult,166.0
59,99.2,196.3,25.74,female,endurance,advanced,Running + Cycling,66,699.7,6,Overweight,Senior,165.0
32,87.2,160.7,33.77,female,weight_loss,beginner,Cardio + HIIT,40,345.3,3,Obese,Adult,86.0
53,60.2,171.0,20.59,female,weight_loss,advanced,Cardio + HIIT,74,394.2,6,Normal,Middle-aged,166.0
22,103.3,150.5,45.61,female,flexibility,intermediate,Yoga + Stretching,47,252.5,5,Obese,Young,114.8
61,129.2,192.9,34.72,female,weight_loss,beginner,Cardio + HIIT,26,283.9,3,Obese,Senior,74.4
28,108.5,186.6,31.16,female,muscle_gain,advanced,Strength Training,67,611.8,5,Obese,Adult,165.5
55,107.9,197.3,27.72,male,weight_loss,advanced,Cardio + HIIT,62,585.4,5,Overweight,Senior,163.0
57,125.8,189.1,35.18,male,weight_loss,beginner,Cardio + HIIT,45,489.7,3,Obese,Senior,88.5
24,62.2,165.7,22.65,female,endurance,beginner,Running + Cycling,44,352.4,3,Normal,Young,88.0
42,93.1,162.4,35.3,female,endurance,intermediate,Running + Cycling,55,601.7,5,Obese,Middle-aged,126.5
17,128.3,184.9,37.53,male,muscle_gain,intermediate,Strength Training,43,489.6,4,Obese,Young,120.5
20,59.0,168.2,20.85,male,weight_loss,advanced,Cardio + HIIT,70,433.6,6,Normal,Young,166.0
44,104.5,178.3,32.87,male,flexibility,beginner,Yoga + Stretching,44,213.8,3,Obese,Middle-aged,76.4
52,94.8,150.3,41.97,female,weight_loss,beginner,Cardio + HIIT,30,253.1,4,Obese,Middle-aged,73.3
53,94.9,153.1,40.49,female,muscle_gain,beginner,Strength Training,28,196.0,4,Obese,Middle-aged,66.6
34,104.3,176.8,33.37,female,general_fitness,beginner,Mixed Training,40,374.8,3,Obese,Adult,86.0
23,124.0,178.3,39.0,female,weight_loss,beginner,Cardio + HIIT,45,577.5,3,Obese,Young,88.5
63,111.5,187.6,31.68,female,general_fitness,advanced,Mixed Training,67,571.8,5,Obese,Senior,165.5
60,49.8,156.6,20.31,male,weight_loss,beginner,Cardio + HIIT,29,122.8,3,Normal,Senior,59.8
16,117.5,175.7,38.06,male,endurance,intermediate,Running + Cycling,54,800.0,4,Obese,Young,126.0
37,64.2,159.7,25.17,male,muscle_gain,beginner,Strength Training,32,165.2,3,Overweight,Adult,65.5
32,77.0,154.7,32.17,female,general_fitness,beginner,Mixed Training,31,216.6,4,Obese,Adult,70.2
22,84.2,170.5,28.96,male,weight_loss,advanced,Cardio + HIIT,68,595.5,6,Overweight,Young,166.0
40,85.9,158.2,34.32,female,muscle_gain,intermediate,Strength Training,46,312.8,5,Obese,Middle-aged,120.3
60,82.0,161.1,31.6,female,general_fitness,advanced,Mixed Training,61,389.7,6,Obese,Senior,162.5
19,124.7,165.9,45.31,male,muscle_gain,intermediate,Strength Training,57,624.9,5,Obese,Young,127.5
51,105.0,163.0,39.52,female,muscle_gain,beginner,Strength Training,34,266.3,3,Obese,Middle-aged,76.6
21,98.6,154.4,41.36,female,weight_loss,intermediate,Cardio + HIIT,57,587.3,4,Obese,Young,127.5
46,49.2,154.5,20.61,male,endurance,beginner,Running + Cycling,38,215.0,4,Normal,Middle-aged,73.5
34,121.8,159.7,47.76,male,weight_loss,advanced,Cardio + HIIT,64,763.9,6,Obese,Adult,164.0
59,122.3,152.5,52.59,female,weight_loss,beginner,Cardio + HIIT,31,324.2,3,Obese,Senior,80.9
54,111.3,181.3,33.86,male,endurance,intermediate,Running + Cycling,46,563.2,4,Obese,Middle-aged,122.0
42,45.6,164.4,16.87,male,muscle_gain,beginner,Strength Training,31,110.7,3,Underweight,Middle-aged,59.6
25,49.9,164.0,18.55,female,general_fitness,intermediate,Mixed Training,44,206.3,4,Normal,Adult,108.6
41,64.1,166.6,23.09,female,general_fitness,advanced,Mixed Training,55,305.4,6,Normal,Middle-aged,157.0
34,56.2,183.1,16.76,male,endurance,intermediate,Running + Cycling,53,364.9,5,Underweight,Adult,125.5
54,78.9,193.5,21.07,female,flexibility,intermediate,Yoga + Stretching,57,197.9,4,Normal,Middle-aged,114.3
18,123.4,188.0,34.91,female,endurance,advanced,Running + Cycling,67,800.0,5,Obese,Young,165.5
60,85.1,186.4,24.49,male,weight_loss,intermediate,Cardio + HIIT,47,340.0,5,Normal,Senior,122.5
28,46.1,174.2,15.19,female,flexibility,beginner,Yoga + Stretching,32,80.0,4,Underweight,Adult,57.0
43,69.0,184.7,20.23,male,weight_loss,beginner,Cardio + HIIT,34,219.4,4,Normal,Middle-aged,71.9
35,48.8,177.6,15.47,male,muscle_gain,intermediate,Strength Training,56,222.0,4,Underweight,Adult,116.2
43,48.1,160.8,18.6,female,flexibility,intermediate,Yoga + Stretching,45,101.2,5,Normal,Middle-aged,98.6
23,68.4,160.4,26.59,female,muscle_gain,beginner,Strength Training,39,230.1,3,Overweight,Young,75.5
56,68.4,164.8,25.18,male,general_fitness,beginner,Mixed Training,39,212.7,3,Overweight,Senior,73.8
54,111.9,195.5,29.28,female,weight_loss,advanced,Cardio + HIIT,70,689.3,5,Overweight,Middle-aged,166.0
16,127.9,177.4,40.64,female,endurance,beginner,Running + Cycling,32,547.4,4,Obese,Young,82.0
18,76.6,186.7,21.98,female,weight_loss,intermediate,Cardio + HIIT,58,470.9,5,Normal,Young,128.0
28,81.5,167.3,29.12,male,endurance,beginner,Running + Cycling,44,452.7,3,Overweight,Adult,88.0
43,116.8,170.4,40.23,female,flexibility,advanced,Yoga + Stretching,69,376.8,6,Obese,Middle-aged,166.0
64,67.8,156.3,27.75,male,endurance,beginner,Running + Cycling,27,189.9,3,Overweight,Senior,65.5
40,58.3,158.6,23.18,male,weight_loss,intermediate,Cardio + HIIT,45,249.2,5,Normal,Middle-aged,113.4
48,117.5,191.4,32.07,female,weight_loss,beginner,Cardio + HIIT,32,342.2,3,Obese,Middle-aged,82.0
53,49.0,179.2,15.26,female,weight_loss,intermediate,Cardio + HIIT,55,238.5,4,Underweight,Middle-aged,117.4
21,97.7,166.9,35.07,female,endurance,advanced,Running + Cycling,69,800.0,6,Obese,Young,166.0
59,92.8,190.1,25.68,male,general_fitness,beginner,Mixed Training,37,269.1,4,Overweight,Senior,78.4
60,74.4,162.3,28.24,male,weight_loss,intermediate,Cardio + HIIT,59,373.1,4,Overweight,Senior,128.5
47,71.8,198.8,18.17,female,endurance,intermediate,Running + Cycling,54,443.5,5,Underweight,Middle-aged,126.0
60,110.6,167.2,39.56,male,general_fitness,beginner,Mixed Training,42,361.9,3,Obese,Senior,87.0
62,52.3,166.9,18.78,female,muscle_gain,advanced,Strength Training,67,245.3,5,Normal,Senior,157.0
36,65.1,165.6,23.74,male,endurance,beginner,Running + Cycling,32,252.6,3,Normal,Adult,74.3
31,107.3,156.1,44.03,female,flexibility,intermediate,Yoga + Stretching,53,282.9,4,Obese,Adult,120.8
36,91.6,155.6,37.83,female,weight_loss,beginner,Cardio + HIIT,35,311.0,3,Obese,Adult,81.6
26,55.9,182.4,16.8,female,weight_loss,beginner,Cardio + HIIT,30,171.1,3,Underweight,Adult,65.1
52,120.0,193.8,31.95,female,weight_loss,beginner,Cardio + HIIT,25,267.0,3,Obese,Middle-aged,72.2
51,78.4,189.5,21.83,female,general_fitness,intermediate,Mixed Training,41,263.7,4,Normal,Middle-aged,112.9
50,115.4,157.1,46.76,male,general_fitness,intermediate,Mixed Training,52,495.1,5,Obese,Middle-aged,125.0
34,112.0,177.3,35.63,male,flexibility,intermediate,Yoga + Stretching,40,219.5,5,Obese,Adult,108.0
35,98.1,155.3,40.67,female,weight_loss,beginner,Cardio + HIIT,28,267.8,3,Obese,Adult,73.8
33,87.0,152.3,37.51,male,muscle_gain,beginner,Strength Training,26,185.7,3,Obese,Adult,64.6
62,128.3,182.8,38.39,female,weight_loss,advanced,Cardio + HIIT,75,800.0,5,Obese,Senior,166.0
56,57.3,176.8,18.33,male,weight_loss,advanced,Cardio + HIIT,74,368.9,6,Underweight,Senior,166.0
64,106.6,154.1,44.89,male,endurance,beginner,Running + Cycling,40,442.4,3,Obese,Senior,86.0
29,61.3,151.7,26.64,male,general_fitness,intermediate,Mixed Training,42,237.2,4,Overweight,Adult,110.7
30,73.8,199.5,18.54,female,general_fitness,beginner,Mixed Training,41,277.4,3,Normal,Adult,81.2
46,71.2,151.5,31.02,female,endurance,advanced,Running + Cycling,59,483.1,6,Obese,Middle-aged,161.5
16,125.5,172.2,42.32,female,weight_loss,advanced,Cardio + HIIT,62,800.0,6,Obese,Young,163.0
18,127.2,175.2,41.44,female,weight_loss,advanced,Cardio + HIIT,66,800.0,6,Obese,Young,165.0
31,60.6,155.9,24.93,male,muscle_gain,advanced,Strength Training,66,331.6,5,Normal,Adult,165.0
38,46.9,158.5,18.67,male,flexibility,beginner,Yoga + Stretching,25,80.0,3,Normal,Adult,53.5
26,106.2,167.6,37.81,female,flexibility,advanced,Yoga + Stretching,55,297.9,6,Obese,Adult,156.3
27,80.5,188.1,22.75,female,muscle_gain,intermediate,Strength Training,54,367.7,4,Normal,Adult,126.0
25,52.6,175.4,17.1,male,muscle_gain,beginner,Strength Training,41,184.2,4,Underweight,Adult,71.9
47,103.1,181.9,31.16,female,weight_loss,intermediate,Cardio + HIIT,41,386.8,5,Obese,Middle-aged,119.5
31,91.3,199.3,22.99,male,weight_loss,advanced,Cardio + HIIT,71,645.0,5,Normal,Adult,166.0
23,128.3,188.4,36.15,male,muscle_gain,advanced,Strength Training,74,800.0,5,Obese,Young,166.0
53,64.3,171.7,21.81,female,weight_loss,beginner,Cardio + HIIT,33,187.8,3,Normal,Middle-aged,68.3
27,79.3,172.3,26.71,male,muscle_gain,intermediate,Strength Training,51,342.1,4,Overweight,Adult,124.5
39,91.1,180.9,27.84,male,general_fitness,advanced,Mixed Training,58,462.6,6,Overweight,Adult,161.0
43,112.3,183.3,33.42,male,endurance,beginner,Running + Cycling,37,485.6,4,Obese,Middle-aged,84.5
23,91.7,175.0,29.94,male,weight_loss,intermediate,Cardio + HIIT,43,408.1,5,Overweight,Young,120.5
43,97.1,182.2,29.25,female,weight_loss,intermediate,Cardio + HIIT,46,417.6,5,Overweight,Middle-aged,122.0
51,64.2,151.2,28.08,female,muscle_gain,intermediate,Strength Training,53,253.8,5,Overweight,Middle-aged,117.9
41,117.0,171.5,39.78,female,muscle_gain,beginner,Strength Training,33,304.1,4,Obese,Middle-aged,79.9
23,81.4,163.9,30.3,female,muscle_gain,intermediate,Strength Training,40,280.8,4,Obese,Young,114.1
43,57.0,156.5,23.27,male,muscle_gain,advanced,Strength Training,55,244.3,6,Normal,Middle-aged,150.9
43,101.5,155.0,42.25,male,endurance,intermediate,Running + Cycling,59,699.9,4,Obese,Middle-aged,128.5
